,iteracion,agente,estrategia,desempeño
1017,42,Almacén Regional,Nadie óptima,0.0
1018,42,Almacén Regional,Un agente óptimo,0.1859005103408647
1023,42,Menudeo,Nadie óptima,0.0
1024,42,Menudeo,Un agente óptimo,2.9940406812870792
1029,42,Mayoreo,Nadie óptima,0.0
1030,42,Mayoreo,Un agente óptimo,0.18838602840921084
1031,42,Mayoreo,Todos óptima,4.283721879533968
1035,43,Fábrica,Nadie óptima,0.0
1036,43,Fábrica,Un agente óptimo,1.1725718403028882
1037,43,Fábrica,Todos óptima,3.0436032554463344
1041,43,Almacén Regional,Nadie óptima,0.0
1042,43,Almacén Regional,Un agente óptimo,0.0511584932311818
1043,43,Almacén Regional,Todos óptima,1.2226108358825118
1047,43,Menudeo,Nadie óptima,0.0
1048,43,Menudeo,Un agente óptimo,1.1725718403028882
1049,43,Menudeo,Todos óptima,3.0436032554463344
1053,43,Mayoreo,Nadie óptima,0.0
1054,43,Mayoreo,Un agente óptimo,0.33230541640135514
1059,44,Fábrica,Nadie óptima,0.0
1060,44,Fábrica,Un agente óptimo,0.9226712830010362
1061,44,Fábrica,Todos óptima,1.1455201732096654
1065,44,Almacén Regional,Nadie óptima,0.0
1066,44,Almacén Regional,Un agente óptimo,0.04065341398732155
1067,44,Almacén Regional,Todos óptima,2.2280427412114747
1071,44,Menudeo,Nadie óptima,0.0
1072,44,Menudeo,Un agente óptimo,0.9226712830010362
1073,44,Menudeo,Todos óptima,1.1455201732096654
1077,44,Mayoreo,Nadie óptima,0.0
1078,44,Mayoreo,Un agente óptimo,0.030856136999876032
1079,44,Mayoreo,Todos óptima,1.4982644044163702
1083,45,Fábrica,Nadie óptima,0.0
1084,45,Fábrica,Un agente óptimo,0.015323845175950963
1085,45,Fábrica,Todos óptima,0.9467970838920202
1089,45,Almacén Regional,Nadie óptima,0.0
1090,45,Almacén Regional,Un agente óptimo,0.027035559197860173
1091,45,Almacén Regional,Todos óptima,0.49708444614543473
1095,45,Menudeo,Nadie óptima,0.0
1096,45,Menudeo,Un agente óptimo,0.015323845175950963
1097,45,Menudeo,Todos óptima,0.9467970838920202
1101,45,Mayoreo,Nadie óptima,0.0
1102,45,Mayoreo,Un agente óptimo,0.036633655058375604
1103,45,Mayoreo,Todos óptima,0.42025515355189763
1107,46,Fábrica,Nadie óptima,0.0
1108,46,Fábrica,Un agente óptimo,2.8228176379837477
1113,46,Almacén Regional,Nadie óptima,0.0
1114,46,Almacén Regional,Un agente óptimo,0.4641383389405711
1119,46,Menudeo,Nadie óptima,0.0
1120,46,Menudeo,Un agente óptimo,2.8228176379837477
1125,46,Mayoreo,Nadie óptima,0.0
1126,46,Mayoreo,Un agente óptimo,0.2073259988968945
1131,47,Fábrica,Nadie óptima,0.0
1132,47,Fábrica,Un agente óptimo,0.9205360640673834
1133,47,Fábrica,Todos óptima,1.142930506918835
1137,47,Almacén Regional,Nadie óptima,0.0
1138,47,Almacén Regional,Un agente óptimo,0.02993895690531723
1139,47,Almacén Regional,Todos óptima,1.9573117115072483
1143,47,Menudeo,Nadie óptima,0.0
1144,47,Menudeo,Un agente óptimo,0.9205360640673834
1145,47,Menudeo,Todos óptima,1.142930506918835
1149,47,Mayoreo,Nadie óptima,0.0
1150,47,Mayoreo,Un agente óptimo,0.02986054644602103
1151,47,Mayoreo,Todos óptima,1.448113719382808
1155,48,Fábrica,Nadie óptima,0.0
1156,48,Fábrica,Un agente óptimo,0.9714130702302695
